大煮干丝,煮,初级入门,咸鲜味,清热解暑,<15分钟,干丝,香菇(干)/火腿/鸡/鸡胸脯肉/虾干,食盐/鸡汤/白胡椒粉
无锡排骨,炖,初中水平,茄汁味,补肾,<60分钟,排骨,西红柿,葱/姜/蒜/八角/桂皮/生抽/老抽/番茄酱/黄酒/白糖/香叶/水/植物油
四喜烤麸,烧,初中水平,咸鲜味,强身健体,<15分钟,黑木耳/干香菇/花生仁(生)/烤麸,干黄花菜,花生油/食盐/生抽/老抽/香油/白糖/水
红烧狮子头,烧,初中水平,家常味,促发育,<60分钟,猪肉/藕,鸡蛋/淀粉/生菜,花生油/食盐/冰糖/姜/生抽/老抽/水淀粉/大葱/水
红烧狮子头,烧,初中水平,咸鲜味,促发育,<60分钟,猪肉/藕,油菜/鸭蛋黄/鸡蛋清,食盐/葱/姜/八角/桂皮/料酒/生抽/老抽/淀粉/水淀粉/白糖/水
香菇面筋,炒,初中水平,咸鲜味,储存热能,<15分钟,油面筋/香菇/油菜,,食盐/生抽/蚝油/香油/白糖/植物油
南京盐水鸭胸,煮,初级入门,咸鲜味,,<30分钟,鸭胸脯肉,,食盐/葱/姜/八角/花椒/料酒/水
无锡酱排骨,烧,初中水平,酱香味,补肾,<60分钟,猪大排,,葱/姜/八角/桂皮/料酒/生抽/番茄酱/白芝麻/茴香籽/红糖/植物油
红烧狮子头,烧,初中水平,咸鲜味,缓解溃疡,,五花肉,鸡蛋/荸荠,食盐/冰糖/葱/姜/生抽/老抽/蚝油/水淀粉/黄酒/植物油
青团子,蒸,初中水平,甜味,缓解溃疡,<30分钟,糯米粉,豆沙,色拉油
腌笃鲜,炖,初中水平,咸鲜味,美容,<90分钟,春笋/咸肉/五花肉,豆腐皮,姜/小葱/高汤/黄酒
腌笃鲜,炖,初级入门,咸鲜味,美容,<90分钟,咸肉/五花肉/春笋,,小葱
炸丸子,炸,初级入门,咸鲜味,美容,<15分钟,青萝卜/土豆,鸡蛋/面粉,食盐/姜
凉拌皮肚,拌,新手尝试,咸鲜味,预防甲状腺,<5分钟,猪皮,香菜,食盐/米醋/香油/胡椒粉/白糖
烧杂拌,烧,初级入门,咸鲜味,降糖,<60分钟,羊肉/白萝卜/肉丸/鱼丸/燕饺/鱼豆腐/鹌鹑蛋/鱿鱼(干)/腐竹/海带/莴笋/黑木耳/蘑菇/油菜/胡萝卜,,食盐/米醋/香油/水淀粉/胡椒粉
